Место|Зона|Провинция|Регионы|Культура|Уровень технологий|Реализация потенциала сорта|Производительность труда|Гарантированная урожайность|Себестоимость|Тип основной продукции|Назначение основной продукции|Тип побочной продукции|Назанчение побочной продукции|Показатели качества. ГОСТ|Показатели качества. Максимальное содрежание клейковины|Показатели качества. Натура|Показатели качества. Максимальная влажность|Способ реализации|Уровень спроса на рынке|Агроэкологические виды земель|Предшественники|Рекомендуемые сорта|Подготовка семян|Минеральные удобрения. Тип|Минеральные удобрения. Количество|Пестициды (протравители). Тип|Пестициды (протравители). Количество|Гебициды. Тип|Гебициды. Количество|Фунгицыды. Тип|Фунгицыды. Количество|Инсектициды. Тип|Инсектициды. Количество|Ретардант . Тип|Ретардант . Количество|Известкование|Органические удобрения. Тип|Органические удобрения. Количество
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Точный|85%|3,5 чел-час/т|7,5 т/га|4660 руб./т|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Немчиновская 85}|ГОСТ Р52325-2005|P|120|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер, КЭ |0,5 л/га|Вантекс, МКС |60 мл/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Точный|85%|3,5 чел-час/т|7,5 т/га|4660 руб./т|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Немчиновская 85}|ГОСТ Р52325-2005|K|120|||Агроксон |0,5 л/га|Консул, КС |1,0 л/га||||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Точный|85%|3,5 чел-час/т|7,5 т/га|4660 руб./т|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Немчиновская 85}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Точный|85%|3,5 чел-час/т|7,5 т/га|4660 руб./т|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Немчиновская 85}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Экстпенсивный|30%|8 чел-час/т|2,5 т/га|6000 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4, 5.1, 5.2 }|{занятый пар, зерновые и зернобобовые, пропашные, многолетние травы}|{Валдай,Татьяна} |ГОСТ Р52325-2005|||||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Нормальный|50%|6,4 чел-час/т|3,5 т/га|7140 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4}|{занятый пар викоовсяный, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Татьяна,Московская 12}|ГОСТ Р52325-2005|N|90|Винцит Форте |1,5 л/т|Линтур ВДГ|180 г/га|Импакт Эксклюзив, КС |0,5 л/га|Данадим Пауэр КЭ, |1,0 л/га|||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Нормальный|50%|6,4 чел-час/т|3,5 т/га|7140 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4}|{занятый пар викоовсяный, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Татьяна,Московская 12}|ГОСТ Р52325-2005|P|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Нормальный|50%|6,4 чел-час/т|3,5 т/га|7140 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4}|{занятый пар викоовсяный, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Татьяна,Московская 12}|ГОСТ Р52325-2005|K|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Интенсивный|65%|4,5 чел-час/т|4,5 т/га|6000 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005|N|120|Винцит Форте|1,25 л/т |Тандем, ВДГ |0,25 кг/га|Импакт Супер |1,5 л/га |Данадим Пауер, КЭ |1,6 л/га|Сапресс, КЭ |0,3 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Интенсивный|65%|4,5 чел-час/т|4,5 т/га|6000 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005|P|90|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Импакт Эксклюзив, КС |0,5 кг/га|Данадим Эксперт, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Интенсивный|65%|4,5 чел-час/т|4,5 т/га|6000 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005|K|90|||||Консул, КС |1,0 л/га|Вантекс, МКС |60 мл/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Интенсивный|65%|4,5 чел-час/т|4,5 т/га|6000 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Интенсивный|65%|4,5 чел-час/т|4,5 т/га|6000 руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Точный|85%|3,5 чел-час/т|9-10 т/га|3500-3900  руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005|N|150|Винцит Форте|1,25 л/т |Атон, ВДГ|0,06 кг/га|Импакт Эксклюзив, КС |0,5 кг/га|Данадим Пауер, КЭ |1,6 л/га|Сапресс, КЭ |0,6 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Точный|85%|3,5 чел-час/т|9-10 т/га|3500-3900  руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005|P|120|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер, КЭ |0,5 л/га|Вантекс, МКС |60 мл/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Точный|85%|3,5 чел-час/т|9-10 т/га|3500-3900  руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005|K|120|||Агроксон |0,5 л/га|Консул, КС |1,0 л/га||||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Точный|85%|3,5 чел-час/т|9-10 т/га|3500-3900  руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая рожь|Точный|85%|3,5 чел-час/т|9-10 т/га|3500-3900  руб/т|зерно|хлебопекарные цели; кондитерская промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Московская 15,Московская 18}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая тритикале|Экстенсивный|30%|8 чел-час/т|2,5 т/га|6000 руб/т|зерно|Комбикормовая промышленность|полова, солома|корм|ГОСТ 16990-71||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6,3.1, 3.2, 3.3, 3.4, 5.1, 5.2}|{занятый пар, зерновые и зернобобовые, пропашные, многолетние травы}|{Виктор}|ГОСТ Р52325-2005|||||||||||||||
